rl;V(out);I(R1)
1.202264434617418e-002;1.338903e-002;1.113651e+000
1.258925411794173e-002;1.402054e-002;1.113691e+000
1.318256738556413e-002;1.468187e-002;1.113734e+000
1.380384264602891e-002;1.537441e-002;1.113778e+000
1.445439770745934e-002;1.609965e-002;1.113824e+000
1.513561248436215e-002;1.685914e-002;1.113872e+000
1.584893192461121e-002;1.765449e-002;1.113923e+000
1.659586907437569e-002;1.848740e-002;1.113976e+000
1.737800828749384e-002;1.935965e-002;1.114031e+000
1.819700858609992e-002;2.027310e-002;1.114090e+000
1.905460717963257e-002;2.122970e-002;1.114151e+000
1.995262314968890e-002;2.223150e-002;1.114214e+000
2.089296130854050e-002;2.328063e-002;1.114281e+000
2.187761623949564e-002;2.437935e-002;1.114351e+000
2.290867652767785e-002;2.552999e-002;1.114424e+000
2.398832919019503e-002;2.673502e-002;1.114501e+000
2.511886431509593e-002;2.799702e-002;1.114582e+000
2.630267991895396e-002;2.931870e-002;1.114666e+000
2.754228703338181e-002;3.070287e-002;1.114754e+000
2.884031503126622e-002;3.215251e-002;1.114846e+000
3.019951720402033e-002;3.367073e-002;1.114943e+000
3.162277660168397e-002;3.526079e-002;1.115044e+000
3.311311214825930e-002;3.692609e-002;1.115150e+000
3.467368504525337e-002;3.867022e-002;1.115261e+000
3.630780547701035e-002;4.049691e-002;1.115378e+000
3.801893963205635e-002;4.241011e-002;1.115499e+000
3.981071705534996e-002;4.441391e-002;1.115627e+000
4.168693834703379e-002;4.651265e-002;1.115761e+000
4.365158322401686e-002;4.871083e-002;1.115901e+000
4.570881896148778e-002;5.101321e-002;1.116047e+000
4.786300923226413e-002;5.342473e-002;1.116201e+000
5.011872336272754e-002;5.595063e-002;1.116362e+000
5.248074602497759e-002;5.859634e-002;1.116530e+000
5.495408738576281e-002;6.136760e-002;1.116707e+000
5.754399373371607e-002;6.427040e-002;1.116892e+000
6.025595860743617e-002;6.731104e-002;1.117085e+000
6.309573444801975e-002;7.049611e-002;1.117288e+000
6.606934480076004e-002;7.383253e-002;1.117501e+000
6.918309709189412e-002;7.732755e-002;1.117723e+000
7.244359600749950e-002;8.098877e-002;1.117956e+000
7.585775750291890e-002;8.482418e-002;1.118201e+000
7.943282347242871e-002;8.884215e-002;1.118456e+000
8.317637711026769e-002;9.305145e-002;1.118724e+000
8.709635899560869e-002;9.746129e-002;1.119005e+000
9.120108393559163e-002;1.020813e-001;1.119300e+000
9.549925860214430e-002;1.069217e-001;1.119608e+000
1.000000000000007e-001;1.119931e-001;1.119931e+000
1.047128548050907e-001;1.173066e-001;1.120269e+000
1.096478196143193e-001;1.228739e-001;1.120624e+000
1.148153621496891e-001;1.287075e-001;1.120995e+000
1.202264434617422e-001;1.348201e-001;1.121384e+000
1.258925411794177e-001;1.412253e-001;1.121792e+000
1.318256738556417e-001;1.479374e-001;1.122220e+000
1.380384264602896e-001;1.549713e-001;1.122668e+000
1.445439770745939e-001;1.623427e-001;1.123137e+000
1.513561248436220e-001;1.700681e-001;1.123629e+000
1.584893192461126e-001;1.781649e-001;1.124145e+000
1.659586907437574e-001;1.866513e-001;1.124685e+000
1.737800828749390e-001;1.955463e-001;1.125252e+000
1.819700858609998e-001;2.048702e-001;1.125845e+000
1.905460717963263e-001;2.146440e-001;1.126468e+000
1.995262314968896e-001;2.248900e-001;1.127120e+000
2.089296130854057e-001;2.356317e-001;1.127804e+000
2.187761623949571e-001;2.468936e-001;1.128521e+000
2.290867652767792e-001;2.587016e-001;1.129273e+000
2.398832919019511e-001;2.710829e-001;1.130062e+000
2.511886431509602e-001;2.840663e-001;1.130888e+000
2.630267991895405e-001;2.976820e-001;1.131755e+000
2.754228703338191e-001;3.119618e-001;1.132665e+000
2.884031503126632e-001;3.269391e-001;1.133618e+000
3.019951720402043e-001;3.426494e-001;1.134619e+000
3.162277660168408e-001;3.591298e-001;1.135668e+000
3.311311214825941e-001;3.764197e-001;1.136769e+000
3.467368504525348e-001;3.945603e-001;1.137924e+000
3.630780547701047e-001;4.135955e-001;1.139136e+000
3.801893963205647e-001;4.335712e-001;1.140408e+000
3.981071705535009e-001;4.545362e-001;1.141743e+000
4.168693834703393e-001;4.765420e-001;1.143145e+000
4.365158322401700e-001;4.996428e-001;1.144615e+000
4.570881896148794e-001;5.238961e-001;1.146160e+000
4.786300923226429e-001;5.493627e-001;1.147781e+000
5.011872336272771e-001;5.761067e-001;1.149484e+000
5.248074602497778e-001;6.041964e-001;1.151273e+000
5.495408738576300e-001;6.337038e-001;1.153151e+000
5.754399373371626e-001;6.647052e-001;1.155125e+000
6.025595860743637e-001;6.972815e-001;1.157199e+000
6.309573444801995e-001;7.315187e-001;1.159379e+000
6.606934480076026e-001;7.675080e-001;1.161670e+000
6.918309709189434e-001;8.053462e-001;1.164079e+000
7.244359600749973e-001;8.451361e-001;1.166613e+000
7.585775750291914e-001;8.869873e-001;1.169277e+000
7.943282347242896e-001;9.310163e-001;1.172080e+000
8.317637711026795e-001;9.773470e-001;1.175030e+000
8.709635899560896e-001;1.026112e+000;1.178134e+000
9.120108393559192e-001;1.077452e+000;1.181402e+000
9.549925860214459e-001;1.131517e+000;1.184844e+000
1.000000000000010e+000;1.188469e+000;1.188469e+000
1.047128548050911e+000;1.248480e+000;1.192289e+000
1.096478196143197e+000;1.311734e+000;1.196316e+000
1.148153621496895e+000;1.378428e+000;1.200561e+000
1.202264434617426e+000;1.448775e+000;1.205038e+000
1.258925411794181e+000;1.523001e+000;1.209762e+000
1.318256738556421e+000;1.601351e+000;1.214749e+000
1.380384264602900e+000;1.684089e+000;1.220015e+000
1.445439770745943e+000;1.771499e+000;1.225578e+000
1.513561248436225e+000;1.863886e+000;1.231457e+000
1.584893192461131e+000;1.961581e+000;1.237674e+000
1.659586907437579e+000;2.064943e+000;1.244251e+000
1.737800828749395e+000;2.174360e+000;1.251213e+000
1.819700858610004e+000;2.290252e+000;1.258587e+000
1.905460717963269e+000;2.413080e+000;1.266402e+000
1.995262314968903e+000;2.543339e+000;1.274689e+000
2.089296130854064e+000;2.681577e+000;1.283483e+000
2.187761623949578e+000;2.828387e+000;1.292822e+000
2.290867652767800e+000;2.984421e+000;1.302747e+000
2.398832919019519e+000;3.150396e+000;1.313303e+000
2.511886431509610e+000;3.327097e+000;1.324541e+000
2.630267991895413e+000;3.515393e+000;1.336515e+000
2.754228703338200e+000;3.716244e+000;1.349287e+000
2.884031503126641e+000;3.930710e+000;1.362922e+000
3.019951720402053e+000;4.159974e+000;1.377497e+000
3.162277660168418e+000;4.405350e+000;1.393094e+000
3.311311214825952e+000;4.668307e+000;1.409806e+000
3.467368504525360e+000;4.950494e+000;1.427738e+000
3.630780547701059e+000;5.253764e+000;1.447007e+000
3.801893963205660e+000;5.580206e+000;1.467744e+000
3.981071705535023e+000;5.932192e+000;1.490099e+000
4.168693834703407e+000;6.312414e+000;1.514243e+000
4.365158322401715e+000;6.723951e+000;1.540368e+000
4.570881896148809e+000;7.170346e+000;1.568701e+000
4.786300923226444e+000;7.655634e+000;1.599489e+000
5.011872336272787e+000;8.184566e+000;1.633036e+000
5.248074602497794e+000;8.762627e+000;1.669684e+000
5.495408738576317e+000;9.396252e+000;1.709837e+000
5.754399373371644e+000;1.009303e+001;1.753968e+000
6.025595860743656e+000;1.086198e+001;1.802640e+000
6.309573444802015e+000;1.171386e+001;1.856522e+000
6.606934480076047e+000;1.266163e+001;1.916415e+000
6.918309709189456e+000;1.372101e+001;1.983289e+000
7.244359600749997e+000;1.462263e+001;2.018485e+000
7.585775750291939e+000;1.473357e+001;1.942262e+000
7.943282347242922e+000;1.480196e+001;1.863457e+000
8.317637711026823e+000;1.486171e+001;1.786770e+000
8.709635899560926e+000;1.491826e+001;1.712846e+000
9.120108393559223e+000;1.497255e+001;1.641707e+000
9.549925860214492e+000;1.501024e+001;1.571765e+000
1.000000000000014e+001;1.501026e+001;1.501026e+000
1.047128548050914e+001;1.501027e+001;1.433470e+000
1.096478196143201e+001;1.501027e+001;1.368953e+000
1.148153621496899e+001;1.501028e+001;1.307340e+000
1.202264434617430e+001;1.501028e+001;1.248500e+000
1.258925411794185e+001;1.501028e+001;1.192309e+000
1.318256738556426e+001;1.501028e+001;1.138646e+000
1.380384264602905e+001;1.501028e+001;1.087398e+000
1.445439770745949e+001;1.501028e+001;1.038458e+000
1.513561248436231e+001;1.501028e+001;9.917192e-001
1.584893192461137e+001;1.501028e+001;9.470845e-001
1.659586907437585e+001;1.501028e+001;9.044586e-001
1.737800828749401e+001;1.501028e+001;8.637514e-001
1.819700858610010e+001;1.501028e+001;8.248761e-001
1.905460717963275e+001;1.501028e+001;7.877506e-001
1.995262314968909e+001;1.501028e+001;7.522960e-001
2.089296130854071e+001;1.501028e+001;7.184371e-001
2.187761623949585e+001;1.501028e+001;6.861021e-001
2.290867652767808e+001;1.501028e+001;6.552224e-001
2.398832919019527e+001;1.501028e+001;6.257325e-001
2.511886431509618e+001;1.501028e+001;5.975699e-001
2.630267991895422e+001;1.501028e+001;5.706749e-001
2.754228703338209e+001;1.501028e+001;5.449903e-001
2.884031503126650e+001;1.501028e+001;5.204617e-001
3.019951720402063e+001;1.501028e+001;4.970371e-001
3.162277660168429e+001;1.501028e+001;4.746667e-001
3.311311214825963e+001;1.501028e+001;4.533032e-001
3.467368504525371e+001;1.501028e+001;4.329012e-001
3.630780547701071e+001;1.501028e+001;4.134174e-001
3.801893963205673e+001;1.501028e+001;3.948106e-001
3.981071705535037e+001;1.501028e+001;3.770412e-001
4.168693834703421e+001;1.501028e+001;3.600715e-001
4.365158322401731e+001;1.501028e+001;3.438656e-001
4.570881896148825e+001;1.501028e+001;3.283891e-001
4.786300923226462e+001;1.501028e+001;3.136092e-001
5.011872336272805e+001;1.501028e+001;2.994944e-001
5.248074602497812e+001;1.501028e+001;2.860150e-001
5.495408738576337e+001;1.501028e+001;2.731422e-001
5.754399373371665e+001;1.501028e+001;2.608488e-001
6.025595860743679e+001;1.501028e+001;2.491086e-001
6.309573444802039e+001;1.501028e+001;2.378969e-001
6.606934480076073e+001;1.501028e+001;2.271898e-001
6.918309709189484e+001;1.501028e+001;2.169645e-001
7.244359600750026e+001;1.501028e+001;2.071995e-001
7.585775750291970e+001;1.501028e+001;1.978740e-001
7.943282347242953e+001;1.501028e+001;1.889682e-001
8.317637711026856e+001;1.501028e+001;1.804633e-001
8.709635899560961e+001;1.501028e+001;1.723411e-001
9.120108393559259e+001;1.501028e+001;1.645844e-001
9.549925860214529e+001;1.501028e+001;1.571769e-001
1.000000000000018e+002;1.501028e+001;1.501028e-001
1.047128548050918e+002;1.501028e+001;1.433471e-001
1.096478196143205e+002;1.501028e+001;1.368954e-001
1.148153621496903e+002;1.501028e+001;1.307341e-001
1.202264434617435e+002;1.501028e+001;1.248501e-001
1.258925411794190e+002;1.501028e+001;1.192309e-001
1.318256738556431e+002;1.501028e+001;1.138646e-001
1.380384264602910e+002;1.501028e+001;1.087399e-001
1.445439770745954e+002;1.501028e+001;1.038458e-001
1.513561248436236e+002;1.501028e+001;9.917193e-002
1.584893192461143e+002;1.501028e+001;9.470846e-002
1.659586907437592e+002;1.501028e+001;9.044588e-002
1.737800828749408e+002;1.501028e+001;8.637514e-002
1.819700858610018e+002;1.501028e+001;8.248762e-002
1.905460717963283e+002;1.501028e+001;7.877506e-002
1.995262314968918e+002;1.501028e+001;7.522961e-002
2.089296130854080e+002;1.501028e+001;7.184371e-002
2.187761623949595e+002;1.501028e+001;6.861021e-002
2.290867652767817e+002;1.501028e+001;6.552225e-002
2.398832919019537e+002;1.501028e+001;6.257326e-002
2.511886431509629e+002;1.501028e+001;5.975700e-002
2.630267991895433e+002;1.501028e+001;5.706749e-002
2.754228703338221e+002;1.501028e+001;5.449903e-002
2.884031503126663e+002;1.501028e+001;5.204617e-002
3.019951720402076e+002;1.501028e+001;4.970371e-002
3.162277660168442e+002;1.501028e+001;4.746667e-002
3.311311214825977e+002;1.501028e+001;4.533032e-002
3.467368504525385e+002;1.501028e+001;4.329012e-002
3.630780547701086e+002;1.501028e+001;4.134174e-002
3.801893963205688e+002;1.501028e+001;3.948106e-002
3.981071705535052e+002;1.501028e+001;3.770412e-002
4.168693834703438e+002;1.501028e+001;3.600715e-002
4.365158322401748e+002;1.501028e+001;3.438656e-002
4.570881896148843e+002;1.501028e+001;3.283891e-002
4.786300923226481e+002;1.501028e+001;3.136092e-002
5.011872336272825e+002;1.501028e+001;2.994945e-002
5.248074602497834e+002;1.501028e+001;2.860150e-002
5.495408738576359e+002;1.501028e+001;2.731422e-002
5.754399373371689e+002;1.501028e+001;2.608488e-002
6.025595860743703e+002;1.501028e+001;2.491086e-002
6.309573444802064e+002;1.501028e+001;2.378969e-002
6.606934480076099e+002;1.501028e+001;2.271898e-002
6.918309709189510e+002;1.501028e+001;2.169646e-002
7.244359600750054e+002;1.501028e+001;2.071995e-002
7.585775750291998e+002;1.501028e+001;1.978740e-002
7.943282347242983e+002;1.501028e+001;1.889682e-002
8.317637711026887e+002;1.501028e+001;1.804633e-002
8.709635899560992e+002;1.501028e+001;1.723411e-002
9.120108393559293e+002;1.501028e+001;1.645844e-002
9.549925860214565e+002;1.501028e+001;1.571769e-002
1.000000000000000e+003;1.501028e+001;1.501028e-002
