rl;V(out);I(R1)
1.000000000000000e-003;1.112869e-003;1.112869e+000
1.047128548050900e-003;1.165321e-003;1.112873e+000
1.096478196143185e-003;1.220245e-003;1.112876e+000
1.148153621496883e-003;1.277757e-003;1.112880e+000
1.202264434617413e-003;1.337981e-003;1.112884e+000
1.258925411794168e-003;1.401043e-003;1.112888e+000
1.318256738556408e-003;1.467077e-003;1.112892e+000
1.380384264602886e-003;1.536225e-003;1.112896e+000
1.445439770745928e-003;1.608631e-003;1.112901e+000
1.513561248436209e-003;1.684451e-003;1.112906e+000
1.584893192461115e-003;1.763845e-003;1.112911e+000
1.659586907437562e-003;1.846981e-003;1.112916e+000
1.737800828749377e-003;1.934036e-003;1.112922e+000
1.819700858609985e-003;2.025195e-003;1.112928e+000
1.905460717963249e-003;2.120651e-003;1.112934e+000
1.995262314968882e-003;2.220607e-003;1.112940e+000
2.089296130854042e-003;2.325275e-003;1.112947e+000
2.187761623949556e-003;2.434877e-003;1.112954e+000
2.290867652767776e-003;2.549646e-003;1.112961e+000
2.398832919019494e-003;2.669826e-003;1.112969e+000
2.511886431509584e-003;2.795671e-003;1.112977e+000
2.630267991895387e-003;2.927449e-003;1.112985e+000
2.754228703338172e-003;3.065439e-003;1.112994e+000
2.884031503126612e-003;3.209936e-003;1.113003e+000
3.019951720402022e-003;3.361244e-003;1.113013e+000
3.162277660168386e-003;3.519687e-003;1.113023e+000
3.311311214825918e-003;3.685600e-003;1.113033e+000
3.467368504525324e-003;3.859335e-003;1.113044e+000
3.630780547701022e-003;4.041262e-003;1.113056e+000
3.801893963205621e-003;4.231767e-003;1.113068e+000
3.981071705534982e-003;4.431254e-003;1.113081e+000
4.168693834703364e-003;4.640148e-003;1.113094e+000
4.365158322401671e-003;4.858892e-003;1.113108e+000
4.570881896148762e-003;5.087952e-003;1.113123e+000
4.786300923226396e-003;5.327813e-003;1.113138e+000
5.011872336272736e-003;5.578985e-003;1.113154e+000
5.248074602497740e-003;5.842003e-003;1.113171e+000
5.495408738576261e-003;6.117424e-003;1.113188e+000
5.754399373371586e-003;6.405835e-003;1.113207e+000
6.025595860743595e-003;6.707849e-003;1.113226e+000
6.309573444801952e-003;7.024107e-003;1.113246e+000
6.606934480075981e-003;7.355282e-003;1.113267e+000
6.918309709189387e-003;7.702079e-003;1.113289e+000
7.244359600749924e-003;8.065234e-003;1.113312e+000
7.585775750291863e-003;8.445520e-003;1.113336e+000
7.943282347242842e-003;8.843747e-003;1.113362e+000
8.317637711026739e-003;9.260761e-003;1.113388e+000
8.709635899560838e-003;9.697449e-003;1.113416e+000
9.120108393559132e-003;1.015474e-002;1.113445e+000
9.549925860214395e-003;1.063361e-002;1.113476e+000
1.000000000000004e-002;1.113508e-002;1.113508e+000
1.047128548050904e-002;1.166021e-002;1.113541e+000
1.096478196143189e-002;1.221012e-002;1.113576e+000
1.148153621496888e-002;1.278599e-002;1.113613e+000
