9,,15,,12,
Vout,Iout,Vout,Iout,Vout,Iout
9.01,0.01,15.03,0,12.07,0
9.01,0.1,15.03,0.02,12.03,0.35
8.98,0.54,15.03,0.3,12.01,0.8
8.95,0.98,15.03,0.66,11.9,1.27
8.93,1.43,15.01,0.86,11.9,1.52
8.93,1.38,14.7,1.23,11.9,1.61
3.2,1.23,13.8,1.8,11.8,1.65
0.55,1.06,14.6,1.58,11.7,1.69
0,1.03,14.3,1.66,3.22,1.22
6.5,1.43,14.1,1.72,2.2,1.14
7.8,1.51,3.2,1.22,0.62,1.05
8.6,1.57,1.8,1.13,0,1.02
8.8,1.57,0.55,1.05,3.9,1.26
8.93,1.56,0,1.02,3.9,1.26
8.93,1.56,7.1,1.47,3.9,1.26
8.93,1.56,10.5,1.66,3.9,1.26
