rl;V(out);I(R1)
6.025595860743703e+002;1.200335e+001;1.992061e-002
6.309573444802064e+002;1.200335e+001;1.902403e-002
6.606934480076099e+002;1.200335e+001;1.816781e-002
6.918309709189510e+002;1.200335e+001;1.735012e-002
7.244359600750054e+002;1.200335e+001;1.656924e-002
7.585775750291998e+002;1.200335e+001;1.582350e-002
7.943282347242983e+002;1.200335e+001;1.511133e-002
8.317637711026887e+002;1.200335e+001;1.443120e-002
8.709635899560992e+002;1.200335e+001;1.378169e-002
9.120108393559293e+002;1.200335e+001;1.316141e-002
9.549925860214565e+002;1.200335e+001;1.256905e-002
1.000000000000000e+003;1.200335e+001;1.200335e-002
