rl;V(out);I(R1)
1.000000000000000e-003;1.109073e-003;1.109073e+000
1.023292992280754e-003;1.134908e-003;1.109074e+000
1.047128548050900e-003;1.161345e-003;1.109076e+000
1.071519305237606e-003;1.188398e-003;1.109078e+000
1.096478196143185e-003;1.216081e-003;1.109079e+000
1.122018454301963e-003;1.244410e-003;1.109081e+000
1.148153621496883e-003;1.273398e-003;1.109083e+000
1.174897554939529e-003;1.303061e-003;1.109085e+000
1.202264434617413e-003;1.333416e-003;1.109087e+000
1.230268770812381e-003;1.364477e-003;1.109089e+000
1.258925411794167e-003;1.396263e-003;1.109091e+000
1.288249551693133e-003;1.428789e-003;1.109093e+000
1.318256738556406e-003;1.462072e-003;1.109095e+000
1.348962882591653e-003;1.496131e-003;1.109097e+000
1.380384264602884e-003;1.530983e-003;1.109100e+000
1.412537544622754e-003;1.566648e-003;1.109102e+000
1.445439770745927e-003;1.603143e-003;1.109104e+000
1.479108388168207e-003;1.640489e-003;1.109107e+000
1.513561248436207e-003;1.678704e-003;1.109109e+000
1.548816618912480e-003;1.717810e-003;1.109111e+000
1.584893192461112e-003;1.757827e-003;1.109114e+000
1.621810097358929e-003;1.798776e-003;1.109117e+000
1.659586907437559e-003;1.840680e-003;1.109119e+000
1.698243652461743e-003;1.883559e-003;1.109122e+000
1.737800828749374e-003;1.927438e-003;1.109125e+000
1.778279410038921e-003;1.972339e-003;1.109128e+000
1.819700858609981e-003;2.018286e-003;1.109131e+000
1.862087136662865e-003;2.065303e-003;1.109133e+000
1.905460717963245e-003;2.113416e-003;1.109137e+000
1.949844599758043e-003;2.162650e-003;1.109140e+000
1.995262314968877e-003;2.213031e-003;1.109143e+000
2.041737944669526e-003;2.264586e-003;1.109146e+000
2.089296130854036e-003;2.317342e-003;1.109150e+000
2.137962089502229e-003;2.371327e-003;1.109153e+000
2.187761623949549e-003;2.426570e-003;1.109156e+000
2.238721138568336e-003;2.483100e-003;1.109160e+000
2.290867652767769e-003;2.540947e-003;1.109164e+000
2.344228815319918e-003;2.600142e-003;1.109168e+000
2.398832919019486e-003;2.660717e-003;1.109171e+000
2.454708915685026e-003;2.722702e-003;1.109175e+000
2.511886431509576e-003;2.786133e-003;1.109179e+000
2.570395782768859e-003;2.851041e-003;1.109183e+000
2.630267991895377e-003;2.917461e-003;1.109188e+000
2.691534803926911e-003;2.985429e-003;1.109192e+000
2.754228703338161e-003;3.054981e-003;1.109196e+000
2.818382931264448e-003;3.126153e-003;1.109201e+000
2.884031503126600e-003;3.198984e-003;1.109206e+000
2.951209226666380e-003;3.273512e-003;1.109210e+000
3.019951720402010e-003;3.349776e-003;1.109215e+000
3.090295432513584e-003;3.427818e-003;1.109220e+000
3.162277660168373e-003;3.507678e-003;1.109225e+000
3.235936569296276e-003;3.589399e-003;1.109230e+000
3.311311214825904e-003;3.673025e-003;1.109236e+000
3.388441561392018e-003;3.758599e-003;1.109241e+000
3.467368504525309e-003;3.846167e-003;1.109247e+000
3.548133892335747e-003;3.935776e-003;1.109252e+000
3.630780547701005e-003;4.027474e-003;1.109258e+000
3.715352290971717e-003;4.121308e-003;1.109264e+000
3.801893963205603e-003;4.217329e-003;1.109270e+000
3.890451449942797e-003;4.315587e-003;1.109277e+000
3.981071705534963e-003;4.416135e-003;1.109283e+000
4.073802778041117e-003;4.519027e-003;1.109290e+000
4.168693834703344e-003;4.624316e-003;1.109296e+000
4.265795188015916e-003;4.732060e-003;1.109303e+000
4.365158322401649e-003;4.842314e-003;1.109310e+000
4.466835921509620e-003;4.955139e-003;1.109317e+000
4.570881896148739e-003;5.070592e-003;1.109325e+000
4.677351412871971e-003;5.188737e-003;1.109332e+000
4.786300923226372e-003;5.309634e-003;1.109340e+000
4.897788193684450e-003;5.433350e-003;1.109348e+000
5.011872336272710e-003;5.559950e-003;1.109356e+000
5.128613839913635e-003;5.689500e-003;1.109364e+000
5.248074602497712e-003;5.822069e-003;1.109372e+000
5.370317963702512e-003;5.957729e-003;1.109381e+000
5.495408738576230e-003;6.096551e-003;1.109390e+000
5.623413251903475e-003;6.238609e-003;1.109399e+000
5.754399373371553e-003;6.383978e-003;1.109408e+000
5.888436553555873e-003;6.532736e-003;1.109418e+000
6.025595860743560e-003;6.684961e-003;1.109427e+000
6.165950018614803e-003;6.840735e-003;1.109437e+000
6.309573444801914e-003;7.000140e-003;1.109447e+000
6.456542290346536e-003;7.163261e-003;1.109458e+000
6.606934480075940e-003;7.330185e-003;1.109468e+000
6.760829753919797e-003;7.501001e-003;1.109479e+000
6.918309709189343e-003;7.675798e-003;1.109490e+000
7.079457843841356e-003;7.854671e-003;1.109502e+000
7.244359600749877e-003;8.037714e-003;1.109513e+000
7.413102413009151e-003;8.225025e-003;1.109525e+000
7.585775750291813e-003;8.416703e-003;1.109537e+000
7.762471166286891e-003;8.612850e-003;1.109550e+000
7.943282347242788e-003;8.813570e-003;1.109563e+000
8.128305161640965e-003;9.018971e-003;1.109576e+000
8.317637711026681e-003;9.229161e-003;1.109589e+000
8.511380382023735e-003;9.444253e-003;1.109603e+000
8.709635899560775e-003;9.664360e-003;1.109617e+000
8.912509381337423e-003;9.889599e-003;1.109631e+000
9.120108393559064e-003;1.012009e-002;1.109646e+000
9.332543007969875e-003;1.035596e-002;1.109661e+000
9.549925860214322e-003;1.059733e-002;1.109676e+000
9.772372209558069e-003;1.084432e-002;1.109692e+000
9.999999999999960e-003;1.109708e-002;1.109708e+000
1.023292992280750e-002;1.135573e-002;1.109725e+000
1.047128548050895e-002;1.162042e-002;1.109741e+000
1.071519305237602e-002;1.189128e-002;1.109758e+000
1.096478196143181e-002;1.216845e-002;1.109776e+000
1.122018454301959e-002;1.245210e-002;1.109794e+000
1.148153621496878e-002;1.274235e-002;1.109813e+000
1.174897554939525e-002;1.303938e-002;1.109832e+000
1.202264434617408e-002;1.334334e-002;1.109851e+000
