v1	V(out)
Step Information: Rl=6  (Run: 1/5)
Step Information: Rl=100  (Run: 3/5)
9.000000000000000e+000	7.384116e+000
9.100000000000000e+000	7.480532e+000
9.199999999999999e+000	7.577037e+000
9.299999999999999e+000	7.673561e+000
9.399999999999999e+000	7.770126e+000
9.499999999999998e+000	7.866732e+000
9.599999999999998e+000	7.963377e+000
9.699999999999998e+000	8.060061e+000
9.799999999999997e+000	8.156782e+000
9.899999999999997e+000	8.253541e+000
9.999999999999996e+000	8.350335e+000
1.010000000000000e+001	8.447165e+000
1.020000000000000e+001	8.544027e+000
1.030000000000000e+001	8.640924e+000
1.040000000000000e+001	8.737854e+000
1.050000000000000e+001	8.834816e+000
1.059999999999999e+001	8.931808e+000
1.069999999999999e+001	8.993352e+000
1.079999999999999e+001	8.993723e+000
1.089999999999999e+001	8.994071e+000
1.099999999999999e+001	8.994404e+000
1.109999999999999e+001	8.994725e+000
1.119999999999999e+001	8.995036e+000
1.129999999999999e+001	8.995337e+000
1.139999999999999e+001	8.995630e+000
1.149999999999999e+001	8.995914e+000
1.159999999999999e+001	8.996190e+000
1.169999999999999e+001	8.996459e+000
1.179999999999999e+001	8.996720e+000
1.189999999999999e+001	8.996976e+000
1.199999999999999e+001	8.997224e+000
1.209999999999999e+001	8.997467e+000
1.219999999999999e+001	8.997705e+000
1.229999999999999e+001	8.997935e+000
1.239999999999999e+001	8.998162e+000
1.249999999999999e+001	8.998384e+000
1.259999999999999e+001	8.998601e+000
1.269999999999999e+001	8.998814e+000
1.279999999999999e+001	8.999022e+000
1.289999999999999e+001	8.999227e+000
1.300000000000000e+001	8.999427e+000
Step Information: Rl=1K  (Run: 4/5)
9.000000000000000e+000	7.536215e+000
9.100000000000000e+000	7.633329e+000
9.199999999999999e+000	7.730486e+000
9.299999999999999e+000	7.827686e+000
9.399999999999999e+000	7.924926e+000
9.499999999999998e+000	8.022201e+000
9.599999999999998e+000	8.119519e+000
9.699999999999998e+000	8.216876e+000
9.799999999999997e+000	8.314269e+000
9.899999999999997e+000	8.411699e+000
9.999999999999996e+000	8.509165e+000
1.010000000000000e+001	8.606666e+000
1.020000000000000e+001	8.704200e+000
1.030000000000000e+001	8.801767e+000
1.040000000000000e+001	8.899368e+000
1.050000000000000e+001	8.992591e+000
1.059999999999999e+001	8.992991e+000
1.069999999999999e+001	8.993370e+000
1.079999999999999e+001	8.993728e+000
1.089999999999999e+001	8.994072e+000
1.099999999999999e+001	8.994404e+000
1.109999999999999e+001	8.994725e+000
1.119999999999999e+001	8.995036e+000
1.129999999999999e+001	8.995337e+000
1.139999999999999e+001	8.995630e+000
1.149999999999999e+001	8.995914e+000
1.159999999999999e+001	8.996190e+000
1.169999999999999e+001	8.996459e+000
1.179999999999999e+001	8.996720e+000
1.189999999999999e+001	8.996976e+000
1.199999999999999e+001	8.997225e+000
1.209999999999999e+001	8.997467e+000
1.219999999999999e+001	8.997705e+000
1.229999999999999e+001	8.997936e+000
1.239999999999999e+001	8.998162e+000
1.249999999999999e+001	8.998384e+000
1.259999999999999e+001	8.998601e+000
1.269999999999999e+001	8.998814e+000
1.279999999999999e+001	8.999022e+000
1.289999999999999e+001	8.999227e+000
1.300000000000000e+001	8.999427e+000
Step Information: Rl=10M  (Run: 5/5)
9.000000000000000e+000	7.680086e+000
9.100000000000000e+000	7.777267e+000
9.199999999999999e+000	7.874534e+000
9.299999999999999e+000	7.971822e+000
9.399999999999999e+000	8.069150e+000
9.499999999999998e+000	8.166519e+000
9.599999999999998e+000	8.263927e+000
9.699999999999998e+000	8.361373e+000
9.799999999999997e+000	8.458856e+000
9.899999999999997e+000	8.556376e+000
9.999999999999996e+000	8.653931e+000
1.010000000000000e+001	8.751520e+000
1.020000000000000e+001	8.849144e+000
1.030000000000000e+001	8.946801e+000
1.040000000000000e+001	8.992196e+000
1.050000000000000e+001	8.992611e+000
1.059999999999999e+001	8.992999e+000
1.069999999999999e+001	8.993370e+000
1.079999999999999e+001	8.993728e+000
1.089999999999999e+001	8.994072e+000
1.099999999999999e+001	8.994404e+000
1.109999999999999e+001	8.994725e+000
1.119999999999999e+001	8.995036e+000
1.129999999999999e+001	8.995337e+000
1.139999999999999e+001	8.995630e+000
1.149999999999999e+001	8.995914e+000
1.159999999999999e+001	8.996190e+000
1.169999999999999e+001	8.996459e+000
1.179999999999999e+001	8.996720e+000
1.189999999999999e+001	8.996976e+000
1.199999999999999e+001	8.997225e+000
1.209999999999999e+001	8.997467e+000
1.219999999999999e+001	8.997705e+000
1.229999999999999e+001	8.997936e+000
1.239999999999999e+001	8.998162e+000
1.249999999999999e+001	8.998384e+000
1.259999999999999e+001	8.998601e+000
1.269999999999999e+001	8.998814e+000
1.279999999999999e+001	8.999022e+000
1.289999999999999e+001	8.999227e+000
1.300000000000000e+001	8.999427e+000
